SUBJECT,TYPE,POSTDATE,PLATFORM,CODE,POST,Followers,Followers_log10,LIKES,Likes_pkU,Likes_pkU_z,COMMENTS,Comments_pkU,Comments_pkU_z,SHARES,Shares_pkU,Shares_pkU_z,CLICK_THROUGHS,CTs_pkU,CTs_pkU_z,AVG_VISIT_DURATION,AVG_VISIT_DURATION_z,RETENTION_RATE,RETENTION_RATE_z
Halloween,News,31-Oct-2014,Facebook,tN08F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/722744467812901/?type=1,348810,5.54,182.0,.52,-.37,18.0,.05,-.15,13.0,.04,-.47,60.0,.17,-.16,.0,-.33,.0,-0.72
Archive pics,GWII,20-Oct-2014,Google+,tG01G,https://plus.google.com/106123073424280939934/posts/KKxJdrpd6KK,105000,5.02,49.0,.47,-.64,2.0,.02,-.49,3.0,.03,-.44,10.0,.10,-.46,105.0,4.70,10.0,1.02
BellDay,News,4-Nov-2014,Facebook,tN10F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/724755554278459/?type=1,351021,5.55,414.0,1.18,-.02,10.0,.03,-.28,59.0,.17,-.06,40.0,.11,-.27,.0,-.33,2.0,-0.41
Particle Fever,News,4-Nov-2014,Facebook,tN11F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/724791784274836/?type=1,351021,5.55,108.0,.31,-.49,21.0,.06,-.10,29.0,.08,-.33,10.0,.03,-.44,.0,-.33,.0,-0.72
Particle Fever,News,4-Nov-2014,Facebook,tN11Fw,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/724791784274836/?type=1,351021,5.55,108.0,.31,-.49,21.0,.06,-.10,29.0,.08,-.33,20.0,.06,-.39,.0,-.33,.0,-0.72
John Bell art,News,7-Nov-2014,Facebook,tN12F,https://www.facebook.com/cern/posts/726217670798914,352483,5.55,117.0,.33,-.47,11.0,.03,-.27,17.0,.05,-.43,95.0,.27,.03,6.0,-.20,5.0,0.05
bl4s,News,17-Nov-2014,Facebook,tN13Fa,https://www.facebook.com/cern/posts/731004876986860,358274,5.55,373.0,1.04,-.09,45.0,.13,.27,117.0,.33,.43,86.0,.24,-.03,24.0,.21,8.0,0.51
bl4s,News,17-Nov-2014,Facebook,tN13Fb,https://www.facebook.com/cern/posts/731004876986860,358274,5.55,,,,,,,,,,211.0,.59,.65,11.0,-.08,9.0,0.66
The Port,News,18-Nov-2014,Facebook,tN14F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/731514303602584/?type=1,358628,5.55,239.0,.67,-.29,4.0,.01,-.38,23.0,.06,-.38,54.0,.15,-.20,52.0,.85,9.0,0.66
UN event,News,20-Oct-2014,Twitter,tN02T,https://twitter.com/CERN/status/524156838628294657,1030000,6.01,86.0,.08,-.26,6.0,.01,-.17,122.0,.12,-.16,209.0,.20,-.06,36.0,2.87,7.0,1.77
Beam tests,News,25-Nov-2014,Facebook,tN16F,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/735129593241055/?type=1,362921,5.56,373.0,1.03,-.10,20.0,.06,-.13,52.0,.14,-.14,94.0,.26,.01,32.0,.39,3.0,-0.26
ALICE,Wow,21-Oct-2014,Instagra,tW01I,http://instagram.com/p/uaUOeRqDWt/?modal=true,281,2.45,83.0,295.37,2.67,7.0,24.91,3.75,,,,,,,,,,
