"gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","median_income","oldest","major_presige","interruptions_per_min","sequence_starts_per_wordX100","proportion_sequence_starts","proportion_words"
0,0.6,0.8,0.79,-0.99,0.08,0.51,0.33,"short",50.6,"no",8,0.494,1.76,0.259,0.44
0,1.26,0.8,1.3,-1.15,-0.14,-0.12,0.33,"short",112.4,"no",5,0.247,3.61,0.481,0.4
0,-0.45,-0.41,-0.52,-0.21,0.21,-0.28,-1.28,"long",51.6,"yes",6.5,0.741,5,0.259,0.16
0,1.26,0.8,1.3,-1.15,-0.14,-0.12,0.33,"short",98.5,"no",5,0.247,3.61,0.481,0.4
0,1.79,0.07,1.4,1.52,0.75,0.03,-0.47,"long",60.4,"yes",28,0.795,2.63,0.519,0.47
0,1,-0.66,0.49,-0.05,-1.18,-1,1.95,"long",30.4,"no",37.5,1.988,2.1,0.185,0.21
0,1.79,0.07,1.4,1.52,0.75,0.03,-0.47,"long",60.4,"yes",28,0.795,2.63,0.519,0.47
0,-0.97,0.8,-0.42,-0.51,-0.78,-1.12,1.54,"short",49.9,"no",23.5,1.59,2.2,0.296,0.32
0,1,-0.66,0.49,-0.05,-1.18,-1,1.95,"long",30.4,"no",37.5,1.988,2.1,0.185,0.21
0,-0.97,0.8,-0.42,-0.51,-0.78,-1.12,1.54,"short",49.9,"no",23.5,1.59,2.2,0.296,0.32
0,0.87,-1.88,-0.12,-0.99,-1.29,-1.28,-0.47,"short",119.1,"Missing",3,0.741,2.24,0.273,0.26
0,0.74,0.8,0.89,2.31,0.48,-0.22,-0.88,"short",51.4,"Missing",28.5,1.235,1.56,0.136,0.19
0,0.87,-1.88,-0.12,-0.99,-1.29,-1.28,-0.47,"short",119.1,"Missing",3,0.741,2.24,0.273,0.26
0,-0.45,-1.88,-1.12,-1.78,-0.3,0.42,0.33,"short",38.8,"Missing",16.5,0.988,2.33,0.591,0.55
0,0.74,0.8,0.89,2.31,0.48,-0.22,-0.88,"short",51.4,"Missing",28.5,1.235,1.56,0.136,0.19
0,-0.45,-1.88,-1.12,-1.78,-0.3,0.42,0.33,"short",38.8,"Missing",16.5,0.988,2.33,0.591,0.55
0,0.08,-1.39,-0.52,0.42,0.03,1.21,0.74,"short",77.9,"yes",7,2.434,2.94,0.458,0.32
0,3.23,1.05,2.91,0.26,-0.71,0.18,-0.07,"long",82.3,"no",24,1.217,1.17,0.25,0.44
0,0.08,-1.39,-0.52,0.42,0.03,1.21,0.74,"short",77.9,"yes",7,2.434,2.94,0.458,0.32
0,0.87,0.07,0.69,-0.99,1.27,2.14,-1.28,"short",96.1,"no",11,1.217,2.48,0.292,0.24
0,3.23,1.05,2.91,0.26,-0.71,0.18,-0.07,"long",82.3,"no",24,1.217,1.17,0.25,0.44
0,0.87,0.07,0.69,-0.99,1.27,2.14,-1.28,"short",96.1,"no",11,1.217,2.48,0.292,0.24
0,1,0.56,1,0.58,-0.41,-0.22,-0.47,"short",43,"no",6,0.815,3.2,0.438,0.31
0,-1.63,-0.9,-1.63,-0.52,-1.53,-0.81,0.74,"long",70.6,"yes",9,0.272,0.95,0.125,0.3
0,1,0.56,1,0.58,-0.41,-0.22,-0.47,"short",43,"no",6,0.815,3.2,0.438,0.31
0,-0.71,0.07,-0.52,0.26,-1.01,-1.53,0.33,"short",36.3,"no",38,0.815,2.59,0.438,0.39
0,-1.63,-0.9,-1.63,-0.52,-1.53,-0.81,0.74,"long",70.6,"yes",9,0.272,0.95,0.125,0.3
0,-0.71,0.07,-0.52,0.26,-1.01,-1.53,0.33,"short",30.4,"no",38,0.815,2.59,0.438,0.39
0,-0.05,-0.9,-0.42,-1.62,0.15,0.63,1.14,"short",59.3,"no",19,0.718,1.08,0.313,0.45
0,-0.58,0.07,-0.42,-0.68,-1.42,-1.54,0.33,"short",119.1,"no",5,0.539,3.26,0.188,0.09
0,-0.05,-0.9,-0.42,-1.62,0.15,0.63,1.14,"short",59.3,"no",19,0.718,1.08,0.313,0.45
0,-1.1,1.05,-0.42,-0.84,1.59,0.96,0.33,"short",128.9,"yes",24,0.359,1.66,0.5,0.46
0,-0.58,0.07,-0.42,-0.68,-1.42,-1.54,0.33,"short",119.1,"no",5,0.539,3.26,0.188,0.09
0,-1.1,1.05,-0.42,-0.84,1.59,0.96,0.33,"short",128.9,"yes",24,0.359,1.66,0.5,0.46
