"triad","indiv-1","indiv-2","dyad","dyad_split","individual_split","gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","shirt1","median_income","oldest","highest_class_rank","major_presige","dyad_status_difference","proportion_words","proportion_sequence_starts","interruptions_per_min","sequence_starts_per_wordX100","interruptions_per_wordX100","affect_words","triad_total_words_per_min"
19,65171896,13243039,56,1,2,0,0.74,-0.66,0.29,0.4,-1.05,-1.68,0.33,"short",2,81,NA,NA,NA,0.29,0.13,0.167,0.001,1.46,0.001,5.8,190.7
19,13243039,65171896,56,2,1,0,1.39,1.29,1.6,-0.95,0.42,0.37,-0.07,"short",2,101,NA,NA,NA,-0.29,0.09,0.167,0.001,2.06,0.001,8.91,190.7
19,53374348,13243039,57,1,2,0,0.77,-0.5,0.4,0.26,-2.09,-1.59,-0.88,"short",2,79.4,NA,NA,NA,-0.29,0.77,0.667,0.001,1.01,0.001,3.53,190.7
19,13243039,53374348,57,2,2,0,1.39,1.29,1.6,-0.95,0.42,0.37,-0.07,"short",2,101,NA,NA,NA,0.29,0.09,0.167,0.001,2.06,0.001,8.91,190.7
20,34112504,53399896,58,1,1,1,0.6,1.05,0.89,0.7,-0.8,-1.45,0.07,"short",2,44.4,"no",0,17.5,-2,0.48,0.52,1.452,3.04,1.41,5.87,216.9
20,53399896,34112504,58,2,1,1,1,-0.41,0.59,-0.77,1.33,0.42,-0.67,"short",2,44.3,"no",0,17.5,2,0.13,0.28,0.242,6.19,0.88,9.82,216.9
20,34112504,13255672,59,1,2,1,0.6,1.05,0.89,0.7,-0.8,-1.45,0.07,"short",2,44.4,"no",0,17.5,-1.71,0.48,0.52,1.452,3.04,1.41,5.87,216.9
20,13255672,34112504,59,2,1,1,-0.05,0.56,0.19,-0.88,0.44,0.27,0.07,"long",3,120.1,"yes",1,28,1.71,0.4,0.2,0.001,1.4,0.001,5.31,216.9
20,53399896,13255672,60,1,2,1,1,-0.41,0.59,-0.77,1.33,0.42,-0.67,"short",2,44.3,"no",0,17.5,0.71,0.13,0.28,0.242,6.19,0.88,9.82,216.9
20,13255672,53399896,60,2,2,1,-0.05,0.56,0.19,-0.88,0.44,0.27,0.07,"long",3,120.1,"yes",1,28,-0.71,0.4,0.2,0.001,1.4,0.001,5.31,216.9
21,13244446,92133400,61,1,1,1,0.6,-1.63,-0.22,-0.25,1.38,0.95,-0.67,"long",3,40,"yes",1,15.5,0.14,0.67,0.533,0.001,1.53,0.001,4.24,188.8
21,92133400,13244446,61,2,1,1,-0.18,-1.15,-0.62,1.54,0.61,1,0.8,"short",2,138.2,"no",0,15,-0.14,0.23,0.333,1.22,2.76,2.76,4.74,188.8
21,13244446,92147440,62,1,2,1,0.6,-1.63,-0.22,-0.25,1.38,0.95,-0.67,"long",3,40,"yes",1,15.5,-0.42,0.67,0.533,0.001,1.53,0.001,4.24,188.8
21,92147440,13244446,62,2,1,1,-1.37,1.05,-0.62,-0.67,-0.26,-0.46,-1.03,"short",2,26.9,"no",0,15.5,0.42,0.09,0.133,0.001,2.82,0.001,5.6,188.8
21,92133400,92147440,63,1,2,1,-0.18,-1.15,-0.62,1.54,0.61,1,0.8,"short",2,138.2,"no",0,15,-0.42,0.23,0.333,1.22,2.76,2.76,4.74,188.8
21,92147440,92133400,63,2,2,1,-1.37,1.05,-0.62,-0.67,-0.26,-0.46,-1.03,"short",2,26.9,"no",0,15.5,0.42,0.09,0.133,0.001,2.82,0.001,5.6,188.8
22,92189960,92121416,64,1,1,1,-1.1,-0.17,-0.92,2.28,1.21,0.64,0.8,"long",3,76.6,"no",0,37.5,-0.14,0.21,0.167,0.363,1.23,0.82,3.83,213.8
22,92121416,92189960,64,2,1,1,1.39,1.05,1.5,-0.35,-0.56,-0.61,0.07,"long",3,35.5,"yes",1,25,0.14,0.45,0.722,1.269,2.43,1.31,4.22,213.8
22,92189960,92128952,65,1,2,1,-1.1,-0.17,-0.92,2.28,1.21,0.64,0.8,"long",3,76.6,"no",0,37.5,1,0.21,0.167,0.363,1.23,0.82,3.83,213.8
22,92128952,92189960,65,2,1,1,-1.89,-1.63,-2.13,-0.51,-0.53,-0.04,0.8,"short",2,46.5,"no",0,15.5,-1,0.34,0.111,0.906,0.5,1.25,3.65,213.8
22,92121416,92128952,66,1,2,1,1.39,1.05,1.5,-0.35,-0.56,-0.61,0.07,"long",3,35.5,"yes",1,25,1.29,0.45,0.722,1.269,2.43,1.31,4.22,213.8
22,92128952,92121416,66,2,2,1,-1.89,-1.63,-2.13,-0.51,-0.53,-0.04,0.8,"short",2,46.5,"no",0,15.5,-1.29,0.34,0.111,0.906,0.5,1.25,3.65,213.8
